name	id	parent	geo	iso23	iso3
Jola-Fonyi	jola1263	jola1264	12.75752,-15.7354766667	dyo	dyo
Southern Tibetic	sout3217	tibe1276			
Dzongkhic	dzon1238	sout3217			
Nuclear Dzongkhic	nucl1307	dzon1238			
Dzongkha	dzon1239	nucl1307	27.410786,89.581604	dz	dzo
Gbe	gbee1241	kwav1236			
Western Gbe	west2802	gbee1241			
Ewe	ewee1241	west2802	6.46061,0.814975	ee	ewe
Graeco-Phrygian	grae1234	indo1319			
Greek	gree1276	grae1234			
Koineic Greek	koin1234	gree1276			
Modern Greek	mode1248	koin1234	42.3224,24.8699	el	ell
English	stan1293	macr1271	53,-1	en	eng
Castilic	cast1243	west2838			
Spanish	stan1288	cast1243	40.4414,-1.11788	es	spa
Uralic	ural1272				
Finnic	finn1317	ural1272			
Estonian	esto1258	finn1317	58.55,25.82	et	est
Basque	basq1248		43.2787,-1.31622	eu	eus
Southwestern Iranian	sout3157	iran1269			
Middle-Modern Persian	midd1352	sout3157			
Modern Southwestern Iranian	mode1259	midd1352			
Farsic-Caucasian Tat	fars1254	mode1259		fa	fas
Peul-Serer	peul1234	nort3148			
Fula	fula1264	peul1234		ff	ful
Nuclear Finnish	nucl1717	finn1317			
Finnish	finn1318	nucl1717	64.7628,25.5577	fi	fin
Tagalogic	taga1280	cent2246			
Tagalog-Filipino	taga1269	taga1280			
Filipino	fili1244	taga1269	12.265,123.464	fil	fil
Central-Eastern Malayo-Polynesian	cent2237	mala1545			
Eastern Malayo-Polynesian	east2712	cent2237			
Oceanic	ocea1241	east2712			
Central Pacific linkage	cent2060	ocea1241			
Tokelau-Fijian	east2445	cent2060			
East Fijian	east2446	east2445			
Fijian	fiji1243	east2446	-18,178.33	fj	fij
West Scandinavian	west2805	nort3160			
Icelandic-Faroese	icel1246	west2805			
Faroese	faro1244	icel1246	62.0732,-6.88497	fo	fao
Northwestern Shifted Romance	nort3208	shif1234			
Gallo-Rhaetian	gall1280	nort3208			
Oil	oila1234	gall1280			
Central Oil	cent2283	oila1234			
