name	iso3	gl	family	likely	script	population	literacy	cldr	id	plural	ordinal	num	chars	quot
Manx	glv	manx1243	indo1319	gv-Latn-IM	Latn	1676	99	true	gv	15		latn	26	0
Hawaiian	haw	hawa1245	aust1307	haw-Latn-US	Latn	28836	99	true	haw	0		latn	27	0
Hebrew	heb	hebr1245	afro1255	he-Hebr-IL	Hebr	8174530	97.1	true	he	16	0	latn	0	10
Hindi	hin	hind1269	indo1319	hi-Deva-IN	Deva	519420800	62.8	true	hi	2	8	latn	0	0
Fiji Hindi	hif	fiji1242	indo1319	hif-Latn-FJ	Latn	375275	93.7	false	hif					
Hiligaynon	hil	hili1240	aust1307	hil-Latn-PH	Latn	8620416	8	false	hil					
Hiri Motu	hmo	hiri1237	pidg1258	ho-Latn-PG	Latn	142618	62.4	false	ho					
Croatian	hrv	croa1245	indo1319	hr-Latn-HR	Latn	4904982	98.8	true	hr	7	0	latn	4	7
Haitian Creole	hat	hait1244	indo1319	ht-Latn-HT	Latn	8493498	48.7	false	ht					
Hungarian	hun	hung1274	ural1272	hu-Latn-HU	Latn	10241210	99	true	hu	0	9	latn	28	12
Armenian	hye	nucl1235	indo1319	hy-Armn-AM	Armn	2990225	99.6	true	hy	11	7	latn	0	11
Indonesian	ind	indo1316	aust1307	id-Latn-ID	Latn	165322240	92.8	true	id	6	0	latn	12	0
Western Canadian Inuktitut	ikt	west2618	eski1264	ikt-Latn-CA	Latn	3890	30	false	ikt					
Iloko	ilo	ilok1237	aust1307	ilo-Latn-PH	Latn	9851904	10	false	ilo					
Ingush	inh	ingu1240	nakh1245	inh-Cyrl-RU	Cyrl	227768	99.7	false	inh					
Icelandic	isl	icel1247	indo1319	is-Latn-IS	Latn	335878	99	true	is	17	0	latn	29	7
Italian	ita	ital1282	indo1319	it-Latn-IT	Latn	59358298	99	true	it	4	10	latn	30	3
Inuktitut	iku	east2534	eski1264	iu-Cans-CA	Cans	14853	30	false	iu	18				
Inuktitut	iku	east2534	eski1264		Latn	14853	30	false	iu-Latn	18				
Japanese	jpn	nucl1643	japo1237	ja-Jpan-JP	Jpan	120366900	99	true	ja	6	0	latn	0	13
Georgian	kat	nucl1302	kart1248	ka-Geor-GE	Geor	4238123	99.7	true	ka	0	11	latn	0	14
Kabardian	kbd	kaba1278	abkh1242	kbd-Cyrl-RU	Cyrl	441301	99.7	false	kbd					
Kongo	kon	core1256	atla1278	kg-Latn-CD	Latn	1219967	66.8	false	kg					
Khasi	kha	khas1269	aust1305	kha-Latn-IN	Latn	1013504	29	false	kha					
Kazakh	kaz	kaza1248	turk1311	kk-Cyrl-KZ	Cyrl	11750656	99.7	true	kk	0	12	latn	5	3
Kalaallisut	kal	kala1399	eski1264	kl-Latn-GL	Latn	55764	99.9	true	kl	0		latn	31	0
Khmer	khm	cent1989	aust1305	km-Khmr-KH	Khmr	14201908	73.9	true	km	6	0	latn	0	0
Kannada	kan	nucl1305	drav1251	kn-Knda-IN	Knda	46874561	62.8	true	kn	2	0	latn	0	0
Mankanya	knf	mank1251	atla1278	knf-Latn-SN	Latn	30073	10	false	knf					
Korean	kor	kore1280	kore1284	ko-Kore-KR	Kore	75085974	98.4	true	ko	6	0	latn	0	0
Komi-Permyak	koi	komi1269	ural1272	koi-Cyrl-RU	Cyrl	64060	99.7	false	koi					
Konkani	kok	konk1270	indo1319	kok-Deva-IN	Deva	4687456	62.8	true	kok			latn	1	0
Karachay-Balkar	krc	kara1465	turk1311	krc-Cyrl-RU	Cyrl	227768	99.7	false	krc					
Kashmiri	kas	kash1277	indo1319	ks-Arab-IN	Arab	5194208	62.8	true	ks	0		arabext	3	0
Kumyk	kum	kumy1244	turk1311	kum-Cyrl-RU	Cyrl	284710	99.7	false	kum					
Komi	kom	komi1267	ural1272	kv-Cyrl-RU	Cyrl	256239	99.7	false	kv					
Kyrgyz	kir	kirg1245	turk1311	ky-Cyrl-KG	Cyrl	2749224	99.2	true	ky	0	0	latn	6	4
Luxembourgish	ltz	luxe1241	indo1319	lb-Latn-LU	Latn	390135	100	true	lb	0		latn	32	7
Lak	lbe	lakk1252	nakh1245	lbe-Cyrl-RU	Cyrl	111037	99.7	false	lbe					
Lezghian	lez	lezg1247	nakh1245	lez-Cyrl-RU	Cyrl	256239	99.7	false	lez					
Lingala	lin	ling1263	atla1278	ln-Latn-CD	Latn	2521265	66.8	true	ln	1		latn	33	0
Lao	lao	laoo1244	taik1256	lo-Laoo-LA	Laoo	4843159	72.7	true	lo	6	7	latn	0	0
Lithuanian	lit	lith1251	indo1319	lt-Latn-LT	Latn	2462737	99.7	true	lt	19	0	latn	34	5
Luba-Lulua	lua	luba1249	atla1278	lua-Latn-CD	Latn	7807786	66.8	false	lua					
Latvian	lav	latv1249	indo1319	lv-Latn-LV	Latn	1199071	99.8	true	lv	20	0	latn	35	0
Maithili	mai	mait1250	indo1319	mai-Deva-IN	Deva	15202560	62.8	false	mai					
Moksha	mdf	moks1248	ural1272	mdf-Cyrl-RU	Cyrl	298946	99.7	false	mdf					
Maguindanao	mdh	magu1243	aust1307	mdh-Latn-PH	Latn	1231488	95.4	false	mdh					
Hassaniyya	mey	hass1238	afro1255			7161	10	false	mey					
Mandjak	mfv	mand1419	atla1278			110265	10	false	mfv					
Malagasy	mlg	mala1537	aust1307	mg-Latn-MG	Latn	21987270	64.5	true	mg	1		latn	36	3
Marshallese	mah	mars1254	aust1307	mh-Latn-MH	Latn	53565	93.7	false	mh					
Maori	mri	maor1246	aust1307	mi-Latn-NZ	Latn	125288	99	false	mi					
Macedonian	mkd	mace1250	indo1319	mk-Cyrl-MK	Cyrl	1407021	97.4	true	mk	21	13	latn	7	7
Malayalam	mal	mala1464	drav1251	ml-Mlym-IN	Mlym	40540160	62.8	true	ml	0	0	latn	0	0
Mongolian	mon	mong1331	mong1329	mn-Cyrl-MN	Cyrl	2819137	97.4	true	mn	0	0	latn	8	0
